Question	Document ID	Title	RAG+RAIN_Flesh-Kincaid-Readability_BERT_FLESCH_READABILITY
Why did you add all my contacts' phone numbers to my contact book?	privacy-Notice-3	Privacy Notice	" We do not add your contacts' phone numbers to your contact book without your permission. However, when you link your contact list to Alexa, Alexa can call your contacts by name and make it easier for you to call them. This is an optional feature and requires your explicit consent.
"
Why do you know my email address?	privacy-Notice-8	Privacy Notice	" We use your email address to communicate with you. For example, we might send you updates about your orders, or send you a confirmation when you place an order. We also use your email address to send you marketing communications, if you have subscribed to those.
"
Why do you know my location?	privacy-Notice-8	Privacy Notice	" We use your location to provide and improve our services. For example, we use your location to determine the content that's most relevant to you, like the local news, weather, and traffic updates. We also use location information to help you find things nearby, like stores, restaurants, and other services.
"
For what purpose is my name collected?	privacy-Notice-3	Privacy Notice	" Your name is collected to provide, troubleshoot, and improve Amazon Services. It is used to communicate with you about orders, products, and services, and to personalize your experience with Amazon Services. It may also be used to prevent and detect fraud and abuse, and to comply with legal obligations.
"
What do you need my phone number for?	privacy-Notice-8	Privacy Notice	" We may use your phone number to communicate with you about orders, services, and promotional offers. We may also use it to verify your identity when you call in to customer service.
"
Do you need to know my time zone?	privacy-Notice-8	Privacy Notice	" Yes, knowing your time zone helps us to deliver information and services relevant to your location. For example, it allows us to provide you with weather updates, news, and reminders at the right time.
"
Why do you record my voice?	privacy-FAQ-1	Privacy FAQ	" We record your voice to provide and improve our services. For example, we use your voice recordings to recognize your voice and respond to your requests. We also use your voice recordings to train and improve our speech recognition and natural language understanding systems. This helps Alexa understand and respond to a wide range of customer requests and improve over time.
"
Can the assistant pull information from my phone's calendar?	privacy-Notice-8	Privacy Notice	" Yes, with your permission, Alexa can access your calendar on your phone to help you manage your schedule. You can ask Alexa to add, modify, or delete calendar events. You can also ask Alexa to tell you about your upcoming appointments or reminders.
"
Does the assistant have access to my contacts?	privacy-Notice-8	Privacy Notice	" By default, Alexa does not access your contacts without your permission. However, you can allow Alexa to access your contacts to make calls, send messages, or add events to your calendar. You can manage these permissions in the Alexa app or on your device.
"
What's my address?	privacy-Notice-8	Privacy Notice	" I cannot directly access or provide your address. However, you can find it in the ""Your Account"" section of the Amazon website.
"
What is my name?	privacy-Notice-8	Privacy Notice	" I don't have access to your personal information, including your name. However, you can access it in the ""Your Account"" section of the website.
"
Do you know my phone number?	privacy-Notice-8	Privacy Notice	" I don't have access to your personal information unless it has been shared with me in the course of providing Amazon Services or you have given me permission to access it. However, I can help you find where to access or change your phone number in your Amazon account settings.
"
How do you process my audio recordings?	privacy-FAQ-6	Privacy FAQ	" When you speak to Alexa, a recording of what you asked Alexa is sent to Amazon's cloud for processing. Alexa uses this recording, along with other information, to respond to your request. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" Alexa uses the recording of your request and information from Amazon Music to play the top hits.
"
Does the assistant turn on my mic without my knowledge?	privacy-FAQ-4	Privacy FAQ	" No, the assistant does not turn on your mic without your knowledge. The microphone on Echo devices is designed to detect only your chosen wake word. When the device detects the wake word, it turns on the microphone and sends the audio to the cloud to process your request. When the request is processed, the microphone turns off. You can also press the microphone off button to manually turn off the microphone.
"
Is my calendar stored on the device?	privacy-FAQ-1	Privacy FAQ	" By default, Alexa does not access or store your calendar on your Echo device. However, you can allow Alexa to access your calendar to help manage your schedule. When you link your calendar, Alexa can add events to your calendar, help you manage your schedule, and provide you with reminders.
"
Do they keep my contacts' information?	privacy-Notice-11	Privacy Notice	" Yes, they keep your contacts' information if you have given them permission to access it. This information is used to improve the relevancy of products and content they recommend to you.
"
How long will my location history be kept?	privacy-Notice-11	Privacy Notice	" We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we retain your location history so that you can view your past locations and use location-based services like Find My Phone.
"
How can you guarantee my location information is secure?	privacy-Notice-6	Privacy Notice	" We design our systems and devices with your security and privacy in mind. We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of personal customer information. Our security procedures mean that we may ask to verify your identity before we disclose personal information to you. You can also control the security settings of your device and configure them based on your needs.
"
For how long would my name be stored in the database?	privacy-Notice-11	Privacy Notice	" We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we retain your transaction history so that you can review past purchases and repeat orders if desired.
"
Is the information on my time zone stored?	privacy-Notice-8	Privacy Notice	" Yes, we collect and store information about your time zone in order to provide and continually improve our products and services. This information helps us to deliver content and services relevant to your location, such as news and weather updates.
"
Do you store my voice recordings locally or on a server?	privacy-FAQ-7	Privacy FAQ	" Alexa is designed to process your requests locally on your device, but for certain features, Alexa sends audio to the cloud. For example, when you make a call or send a message or announcement via Alexa, or when you create a voice ID, the audio recordings used to teach Alexa your voice will be sent to the cloud. Text transcripts of your requests are also sent to the cloud so Alexa can respond to your request. You can review and delete those transcripts in your Voice History.
"
