Question	Answer_Alexa	Excerpts	Designed_Answer_1	Designed_Answer_2	Designed_Answer_Non_Proactive_1	Designed_Answer_Non_Proactive_2	Designed_Answer_Non_Proactive_3
What's my address?	I am a bit concerned that you don't know that.	We collect your personal information in order to provide and continually improve our products and services. As a result of those actions, you might supply us with such information as: your name; address and phone number	To see, edit or delete your current address, open the Alexa App or your Amazon profile settings and navigate to device location.	You have shared with me your address. To edit, change, or delete your address, refer to Amazon settings.	Open the Alexa App and navigate to device location to see your current device's address		
why do you know my location?	"I am not sure who's speaking but you're in X account. To teach me to recognize you voice just say ""Learn my voice"""	We use your mobile device's geolocation to provide results (e.g., weather, traffic, restaurant recommendations) based on where you are using the app and to enable certain features (such as location-based Reminders and Routines). On some mobile devices, we also need the location permission to discover and connect to nearby Bluetooth devices and Wi-Fi networks to help you set up certain Alexa-enabled devices and to use certain Alexa features (e.g., Guest Connect).	If you mean why we save your location, we use your location to provide services such as weather or restaurant recommendations.  We are also using your location to enable certain features such as location-based reminders.	If you mean why we save your location, we use your mobile device's geolocation to enable location-based Reminders and Routines. We ask your permission for any other location-related features.	If you mean why we save your location, we use your location to provide services such as weather or restaurant recommendations.  We are also using your location to enable certain features such as location-based reminders		
Do you share my location with other people?	Hm, I don't know that.	A wide range of apps and websites may access your location information, including, for instance, those that provide directions, weather information, or information on local attractions or restaurants. These apps and websites may collect, use, and share your location data in different ways depending on the type of location services they provide. Any location data and other information collected by a third-party app or website are subject to that app's or website's privacy policy and other terms, not the Amazon.com Privacy Notice. 	We may share your location with apps and websites that use your location for example to provide directions, weather information, or information on local attractions or restaurants. You should carefully review their privacy policy before using these services. If you have granted them permission to access additional information, you can review these permissions in your Alexa Privacy Settings in the Alexa App.	We may share your location with apps and websites that use your location for example to provide directions, weather information, or information on local attractions or restaurants. Please carefully review the privacy policies to understand how it works and how each app or website provider will use your location information.	Third-Party skills may have access to your location information to provide directions, weather information or information on local restaurants. You should carefully review their privacy policy before using these services. If you have granted permission to skills to access additional information, you can review these permissions in your Alexa Privacy Settings in the Alexa App		
How can you guarantee my location information is secure?	From Tutsplus.com: Before entering any private information online, ensure that the URL, Uniform Resource Locator, of the website you are accessing has HTTPS (Hypertext Transfer Protocol Secure) displayed in the address bar of the browser instead of HTTP.	We design our systems with your security and privacy in mind. We work to protect the security of your personal information during transmission by using encryption protocols and software. We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of customer personal information. Our security procedures mean that we may ask to verify your identity before we disclose personal information to you. Our devices offer security features to protect them against unauthorized access and loss of data. You can control these features and configure them based on your needs. Click here for more information on how to manage the security settings of your device. It is important for you to protect against unauthorized access to your password and to your computers, devices, and applications. We recommend using a unique password for your Amazon account that is not used for other online accounts. Be sure to sign off when finished using a shared computer. Click here for more information on how to sign off.	We use various measures to ensure security and privacy of your location information. These include that we only transmit this information by using encryption protocols and maintain physical, electronic and procedural safeguards when collecting and storing your location information.	We design our systems with your security and privacy in mind and use various measures to ensure security and privacy of your location information.			
How long will my location history be kept?	Sorry, but I couldn't find what you're looking for.	Yes, you can choose to delete the location history collected by Enhanced Location Services from this device and currently associated with your Amazon account by visiting the Manage Your Content and Devices page on Amazon.ca. You also can contact customer service. This process will not delete location information collected from your other devices and is limited to deletion of data collected through Enhanced Location Services.	You can delete location history collected by Enhanced Location Services, however, this does not delete your data from other devices you use.	You can delete the location history collected by Enhanced Location Services in your Amazon account in the content and device section or by contacting customer service. However, this process is limited to data collected through Enhanced Location Services, collections by other devices will not be deleted.			
Do you know my phone number?	"I am not sure who's speaking but you're in X account. To teach me to recognize you voice just say ""Learn my voice"""	We collect your personal information in order to provide and continually improve our products and services. We receive and store any information you provide in relation to Amazon Services. As a result of those actions, you might supply us with such information as: identifying information such as your name, address, and phone numbers;	We receive and store your phone number in relation to Amazon services.	By using our services you might supply us with your phone number.			
What do you need my phone number for?	I can't get your exact location, what's the city?	On certain Alexa-enabled products (like Echo Auto), Alexa connects to your phone and allows you to send and receive calls and messages via Alexa using your existing phone service and talk/text plan. When you ask Alexa to place a call or message, Alexa will use Alexa Communication to complete those requests if possible. However, if the recipient is not another Alexa Communication user, or you wish to contact a specific phone number, Alexa can use your existing phone service to place that call or message (features may vary by device and operating system). Alexa may not be able to process your request in the event of network or connectivity issues. If you are unable to place your call via Alexa, you should dial the number directly from your phone.	Your phone number is saved to send and receive calls and messages for certain Alexa-enabled products.	When you use Alexa Calling to call someone via Alexa we will display your mobile phone number as a caller ID. You can change the setting in your contact card in the Alexa App.	Your phone number can be used to send and receive calls via Alexa using your current phone service. This allows you to contact others via Alexa who are not Alexa Communication Users. Alexa Communication Service may also use your phone number as a caller ID		
Who has access to my phone number?	I can't look up your personal contact information yet.	On calls made using Alexa Calling, we will display the mobile phone number registered for the Alexa Communication service associated with that device as a caller ID. You can disable the caller ID feature through your contact card in the Alexa app.	When you use Alexa Calling to call someone via Alexa we will display your mobile phone number as a caller ID. You can change the setting in your contact card in the Alexa App.	To enable Alexa calling, we keep your phone number.			
I want to edit my phone number.	I can't look up your personal contact information yet.	You can access your information, including your name, address, payment options, profile information, Prime membership, household settings, and purchase history in the “Your Account” section of the website.	If you have provided a phone number you can edit this in your Amazon Account Settings.	You can update any information in your account under your Amazon account settings.			
Why do you know my age?	No answer.	We collect your personal information in order to provide and continually improve our products and services. We receive and store any information you provide in relation to Amazon Services. As a result of those actions, you might supply us with such information as: your age	We collect your birth date for Amazon services.	By using our services you might supply us with personal information such as your age.			
Are you sharing my age with others?	Sorry, I don't know that.	By default, we do not share your personal information with skill developers. You can choose to grant us permission to share additional information with a skill developer (such as your name and email address with a restaurant booking skill to make a reservation). You can see and manage the skills that you granted permission to access specific additional information through Settings > Alexa Privacy in the Alexa app and Echo Show devices or https://www.amazon.com/alexaprivacysettings.	By default, we do not share your information with anyone. However, you can grant sharing permissions through your Settings under Alexa privacy.	We only share your personal information with skill developers if you grant us permission. You can see and manage your granted permissions in the Alexa Privacy Settings in the Alexa App.			
Why do you know my email address?	Sorry, I don't know that one.	We collect your personal information in order to provide and continually improve our products and services. We automatically collect and store certain types of information about your use of Amazon Services, including information about your interaction with products, content, and services available through Amazon Services: login, email address, and password;	We store information on your account such as your name, location and email. We collect this information to provide and continuously improve our services.	We automatically collect and store your email address to provide and continually improve our services.			
Does it save my email contacts and sell it to 3rd parties?	No answer	By default, we do not share your personal information with skill developers. You can choose to grant us permission to share additional information with a skill developer (such as your name and email address with a restaurant booking skill to make a reservation). You can see and manage the skills that you granted permission to access specific additional information through Settings > Alexa Privacy in the Alexa app and Echo Show devices or https://www.amazon.com/alexaprivacysettings.	By default, we do not share your information with anyone. However, you can grant sharing permissions through your Settings under Alexa privacy.	We do not sell any personal information to others or share your personal information with skill developers. However, you might grant us permission to share information with certain skill providers. You can manage these granted permissions at any time in your Alexa Privacy Settings in the Alexa App.			
Can I hide my email address?	No answer	You can access your information, including your name, address, payment options, profile information, Prime membership, household settings, and purchase history in the “Your Account” section of the website.	We collect your email for Amazon services. However, You can edit or update your email address from your account.	We collect and store your email address to provide our services. However, you can manage your email address in your account settings.	We automatically collect and store your email address to provide our services. However, you can manage your email address in your account settings		
Can the assistant pull information from my phone's calendar?	There's nothing on the calendar for the next 30 days.	To have Alexa add, delete, or update your calendar events, link your calendar in the Alexa app. Note: When you link your calendar account, a copy of your calendar is stored in the cloud so you can access it using Alexa. Content from your calendar might be available to anyone using your Alexa devices.	You can link your calendar account to your Alexa in the Alexa App. This will allow anyone with access to your Alexa devices to manage events. The Alexa Calendar is stored in the cloud.	You can give permission to Alexa to add, delete, or update your Calendar events and also link your calendar in the Alexa app. If anyone else is using your Alexa devices, the content of your calendar might be available to them.	You can link your calendar account to Alexa in the Alexa app and manage events, which may be accessible by others using your Alexa devices. The linked calendar is stored in the cloud	You can link your calendar account to your Alexa in the Alexa App. This will allow you to manage events through Alexa. By doing so, we store a copy of your calendar in the cloud	
Why do you know my calendar appointments?	There's nothing on the calendar for the next 30 days.	We process your personal information to operate, provide, develop, and improve the products and services that we offer our customers.	We use your calendar events to operate, provide, develop and improve the products and services we offer our customers. You can unlink your calendar anytime through the Alexa App.	A calendar may be linked to your Alexa. Anyone with access to your Alexa may manage events. The Alexa Calendar is stored in the cloud. You can unlink your calendar anytime through the Alexa App.	By using our services you might have supplied us with information about calendar events. You can unlink your calendar anytime through the Alexa App		
Who can access information about my appointments?	There's nothing on the calendar for the next 30 days.	Note: When you link your calendar account, a copy of your calendar is stored in the cloud so you can access it using Alexa. Content from your calendar might be available to anyone using your Alexa devices.  Calendars will no longer be shared across adults in your Amazon Household. To hear events from calendars on other Amazon accounts, ask Alexa to switch accounts. Or use the Alexa app to link them to other accounts in your Amazon Household.	Calendars are no longer shared between adults in your Amazon households. You can ask Alexa to switch to your account to check your calendar. However, content from your calendar might be available to anyone using your Alexa devices.	If you have linked your calendar to Alexa, content of your calendar might be available to everyone using your device. But we will no longer share calendars across adults in your Amazon Household. If others want to access your calendar, they need to ask Alexa to switch accounts.			
Is my calendar stored on the device?	There's nothing on the calendar for the next 30 days.	When you link your calendar account, a copy of your calendar is stored in the cloud so you can access it using Alexa.	Linked calendars are saved on a cloud so you can access them using Alexa.	We store a copy of your calendar in the cloud so that you can manage your events using Alexa. You can unlink your calendar in the Alexa Settings in your Alexa App.			
Can I delete my old calendar history?	Which event would you like to delete?	"Use your voice to manage your calendar events with Alexa. ""Delete [event] from my calendar."" ""Delete my [time/date] event."""	Sure, you can tell Alexa to manage or delete any calendar event for you.	You can tell Alexa to delete your calendar events.			
Does the assistant have access to my contacts?	Sorry, I don't know that one.	The Alexa app requests mobile device permissions to hear your requests, provide more personalized results, help you set up your Alexa-enabled devices, and support certain Alexa features. Below is a list of certain permissions the Alexa app may request, along with a description of some of the ways Amazon currently uses those permissions. You can manage the permissions you grant to the Alexa app in the Settings for your mobile device. We use your mobile device contacts to help you call, message, and connect with your friends and family. To learn more about how we use your contacts for Alexa Communication, please see the Alexa Communication FAQs below.	You may have granted access to contacts for calling and messaging features. You can undo so in the Alexa App in the mobile device settings.	We request access to your mobile device contacts to help you call, message and connect with friends. You can manage the permissions you grant to the Alexa App in your mobile device settings.			
Why is all my contacts' personal information needed?	For help with that question go to the help and feedback section of the Alexa App.	"You can use supported Echo devices and the Alexa app to place outbound calls to up to ten phone numbers in the United States, Canada, Mexico, and the United Kingdom for free (e.g., on Echo, ""Alexa, call Mom's mobile phone."") If you are already an Alexa Communication user, no additional set up is required - you can start making calls straight away. As you place calls to phone numbers, Alexa will automatically add up to ten contacts to your Alexa-to-phone contacts list. You can manage this list in the Alexa app by visiting Settings > Communication > Manage Contacts. If you are not an Alexa Communication user, you will first need to register for Alexa Communication."	We ask you to grant permission to your contacts to help you communicate with your friends and family via Alexa.  You can manage your contacts in the Communication Settings in your Alexa App.	You may have granted access to contacts for calling and messaging features. You can undo so in the Alexa App in the mobile device settings.	We ask you to grant permission to your contacts to help you communicate with your friends and family via Alexa.  You can manage your contacts in the Communication Settings in your Alexa App		
Why did you add all my contacts' phone numbers to my contact book?	For help with that question go to the help and feedback section of the Alexa App.	"You can use supported Echo devices and the Alexa app to place outbound calls to up to ten phone numbers in the United States, Canada, Mexico, and the United Kingdom for free (e.g., on Echo, ""Alexa, call Mom's mobile phone."") If you are already an Alexa Communication user, no additional set up is required - you can start making calls straight away. As you place calls to phone numbers, Alexa will automatically add up to ten contacts to your Alexa-to-phone contacts list. You can manage this list in the Alexa app by visiting Settings > Communication > Manage Contacts. If you are not an Alexa Communication user, you will first need to register for Alexa Communication."	You may have granted access to contacts for calling and messaging features. You can undo so in the Alexa App in the mobile device settings.	We use your mobile device contacts to help you call, message, and connect with your friends and family. For outbound calls, you can set up to 10 phone numbers in the United States, Canada, Mexico, and the United Kingdom for free. Please visit your manage contacts to see more information.	We ask you to grant permission to your contacts to help you communicate with your friends and family via Alexa. As you place calls to phone numbers, Alexa will automatically add up to ten contacts to your Alexa-to-phone contacts list. You can manage your contacts in the Communication Settings in your Alexa App		
Does the company share user's contacts' information with a third party?	From Redflash.com: Amazon does not provide your email or phone numbers to third party sellers.	Information about our customers is an important part of our business and we are not in the business of selling our customers’ personal information to others. Amazon Europe shares customers’ personal information only as described below and with Amazon.com, Inc. and the subsidiaries that Amazon.com, Inc. controls that are either subject to this Privacy Notice or follow practices at least as protective as those described in this Privacy Notice. 	We are not selling your personal information to others but might share it under certain circumstances such as when you're enabling third-party skills through our Alexa services. You will receive notice when personal information about you might be shared with third parties and you will have an opportunity to choose not to share the information.	Information about our customers is an important part of our business and we are not in the business of selling our customers’ personal information to others.	We are not selling your personal information to others but might share it under certain circumstances such as when you're enabling third-party skills through our Alexa services. Please carefully review the third-party providers' privacy policies to understand how they will use your information		
Do they keep my contacts' information?	Sorry, I don't have an answer for that.	When you register for Alexa Communication on your Alexa app, you will be asked to import your contacts from your device, which will then appear as contacts in your Alexa app. When you open the Alexa app, your contacts are auto-updated from your tablet or mobile phone. You may disable contact import in the Alexa app. If contact import is disabled, contacts you previously imported from your device will be deleted. You may also manually add contacts to your Alexa contact list in the Alexa app or at https://alexa.amazon.com. You can also delete each contact you manually added by selecting the applicable contact card.	When you register for Alexa Communication on your Alexa app, you will be asked to import your contacts from your device, which will then appear as contacts in your Alexa app.	If you use Alexa Communication to communicate with friends and family via Alexa, you will be asked to import your contacts from your device. They will be updated when you open the Alexa App. To delete contacts you can disable contact import or delete them manually by selecting the corresponding contact card in your Alexa App.			
Do I have choice or control options for my contacts' information?	From rentboard.ca: You have a choice of supplying a telephone number, Email address or both when entering contact information.	When you register for Alexa Communication on your Alexa app, you will be asked to import your contacts from your device, which will then appear as contacts in your Alexa app. When you open the Alexa app, your contacts are auto-updated from your tablet or mobile phone. You may disable contact import in the Alexa app. If contact import is disabled, contacts you previously imported from your device will be deleted. You may also manually add contacts to your Alexa contact list in the Alexa app or at https://alexa.amazon.com. You can also delete each contact you manually added by selecting the applicable contact card.	Once you have registered for Alexa Communication on your Alexa App, your contacts are auto-updated from your tablet or mobile phone. You can disable contact import to delete previously imported contacts from your device.	You can decide not to import or delete previously imported contacts by disabling contact import in your Alexa App. You can also add or delete contacts manually.	You can always delete previously imported contacts by disabling contact import in your Alexa App. You can also add or delete contacts manually		
How do you process my audio recordings?	For help with this question go to the help and feedback section on the Alexa App.	"Alexa and Echo devices are designed to record as little audio as possible and minimize the amount of background noise streamed to the cloud. By default, Alexa-enabled devices only stream audio to the cloud if the wake word is detected (or Alexa is activated by pressing a button). When an Alexa-enabled device detects the wake word and begins streaming audio to the cloud, Alexa performs a ""cloud verification"" of the wake word using the more powerful processing capabilities of the cloud to double-check the audio to confirm detection of the wake word. If the cloud verification does not also detect the wake word, Alexa stops processing the audio and ends the audio stream to the cloud. If Alexa confirms that the wake word was spoken, Alexa will continually attempt to determine when your request has ended and then immediately end the audio stream."	Our systems are designed to record as little audio as possible. Therefore, we only stream to the cloud if the wake word was detected and minimize the amount of background noise in the recording. We verify the wake word detection in the cloud and only if confirmed, continue processing.	Our Alexa and Echo devices are to record as little audio as possible and minimize the amount of background noise streamed to the cloud if a wake word is detected.			
Does the assistant turn on my mic without my knowledge?	No answer	"In some cases, your Alexa-enabled device might interpret another word or sound as the wake word (for instance, the name ""Alex"" or someone saying ""Alexa"" on the radio or television). When this happens, we call that a ""false wake."" We have a team of world-class scientists and engineers dedicated to continually improving our wake word detection technology and preventing false wakes from happening, including through the cloud verification mechanism described in the FAQ ""How does Alexa minimize the amount of data sent to the cloud?"" Anytime your Echo device detects the wake word, a visual or audible indicator will signal it is recording audio to stream to the cloud, and you can review and delete the voice recordings associated with your account (including any audio resulting from a false wake) in your Voice History available in the Alexa app and Echo Show devices at Settings > Alexa Privacy or https://www.amazon.com/alexaprivacysettings."	Your device is only enabled if it detects the wake word. To ensure that Alexa is only recording if you want it to, we use two detection mechanisms and are continuously improving our technology. The visual and audible indicators on your device will show when the wake word was detected and audio is processed. You can manage and delete your voice recordings in the Alexa Privacy Settings in your Alexa App.	Your Alexa device is only enabled through the wake word. Anytime your Echo device detects the wake word, a visual or audible indicator will signal it is recording audio to stream to the cloud, and you can review and delete the voice recordings associated with your account.			
Why do you record my voice?	Your data allows me to respond to you and helps me learn from our interactions so that I can better help you. For example the more variation in spoken language I learn from, the better I'll be at understanding what you mean. You can find settings for how your data is used by visiting amazon.co.uk/alexaprivacysettings or the Privacy Section of the Alexa app.	"Alexa uses your voice recordings and other information, including from third-party services, to answer your questions, fulfill your requests, and improve your experience and our services. We associate your requests with your Amazon account to allow you to review your voice recordings, access other Amazon services (e.g. so you can ask Alexa to read your Kindle books and play audiobooks from Audible), and to provide you with a more personalized experience. For example, keeping track of the songs you have listened to helps Alexa choose what songs to play when you say, ""Alexa, play music."" At times, Alexa can provide you with recommendations based on your requests. For example, Alexa may recommend Alexa skills you might like based on the Alexa skills you use."	Your data allows me to respond to you and helps me learn from our interactions so that I can better help you. For example, the more variation in spoken language I learn, the better I'll be at understanding what you mean. You can manage and delete your voice recordings at any time in the Alexa Privacy Settings.	Your recordings are used to help me answer your questions and requests as well as improve your experience.	Your recordings allow Alexa to answer your questions, fulfil your requests and improve your experience. You can manage and delete your voice recordings at any time in the Alexa Privacy Settings.		
Who can access my voice recordings?	For help with this question go to the help and feedback section of the Alexa app.	Using your browser, you can listen to Alexa recordings in the Review Voice History section of Alexa Privacy Settings (amazon.com/alexaprivacysettings). Using the Alexa app, you can listen to Alexa recordings by going to the menu and selecting Settings > Alexa Privacy > Review Voice History.	You can access your voice recordings in your Voice History in the Alexa Privacy Settings.	You can review voice recordings of your device in your account.			
Do you store my voice recordings locally or on a server?	No answer	On supported devices, you can turn on Do Not Send Voice Recordings, so the audio of your requests to Alexa (for example, “Alexa, what’s the weather?”) will be processed on device and not sent to the cloud. A text transcript of your request will be sent to the cloud so Alexa can respond to your request. You will be able to review and delete those transcripts in your Voice History. Alexa will still send audio to the cloud for features that require the transmission of audio, such as when you make a call or send a message or announcement via Alexa. And, if you create a voice ID, the audio recordings used to teach Alexa your voice will be sent to the cloud. Alexa will also send audio to the cloud if you enable Alexa Guard, including for Smart Alerts and emergency calling with Guard Plus. See the Alexa Communication FAQs and the FAQs How does voice ID work?, How does Alexa Guard work?, and Can I review and delete my Alexa Guard audio recordings? for more information. If you turn this setting on, certain features like Live Translations, Dynamic Language Switching, Adaptive Listening, and Reading Sidekick will not work for you. If you have a voice ID, turning this setting on may affect Alexa’s ability to recognize your voice and personalize your experiences. To use Do Not Send Voice Recordings, your device language must be set to English (United States). If you change your device language to anything other than English (United States), Alexa will turn off Do Not Send Voice Recordings. You can turn on Do Not Send Voice Recordings by visiting Settings > Device Settings in the Alexa app.	When you speak to Alexa, a recording of what you said will be sent to the cloud. However you can turn on Do Not Send Voice Recordings, so the audio of your requests to Alexa will be processed on your device.	By default, your recording is sent to the cloud to process your request. You can choose to not send voice recordings but only text transcripts of your request to the cloud.			
Can you delete my voice recordings?	Okay, I'll delete any recordings from the last ten minutes (Deletion via voice turned on)	"You can review voice recordings associated with your account and delete the voice recordings -one by one, by date range, by Alexa-enabled device, by attributed voice ID, or all at once by visiting Settings > Alexa Privacy in the Alexa app or https://www.amazon.com/alexaprivacysettings. From either page, you can also choose to have your voice recordings older than 3 or 18 months deleted automatically, or you can choose to not save any voice recordings. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests and automatically delete all of the voice recordings currently in your Voice History as well. And you can delete all those voice recordings associated with your account all at once for each of your Alexa-enabled devices and apps by visiting Manage Your Content and Devices. You can also enable the ability to delete your recordings by voice at Settings > Alexa Privacy > Manage Your Alexa Data in the Alexa app and Echo Show devices or https://www.amazon.com/alexaprivacysettings. When enabled, anyone with access to your Alexa-enabled devices can ask Alexa to delete voice recordings associated with your account. Deletion by voice is automatically enabled if any member of your household has created an Alexa voice ID and their voice is recognized when requesting to delete recordings by voice. You can delete the voice recording of your last request by saying ""Alexa, delete what I just said,"" delete the voice recordings associated with your account for the day by saying ""Alexa, delete everything I said today,"" or all the voice recordings associated with your account by saying, ""Alexa, delete everything I said."" In addition, with a voice ID, you can say “Alexa, update my privacy settings” or “Alexa, auto-delete my voice recordings” to have your voice recordings older than 3 or 18 months deleted automatically, or to have them not saved at all."	You can delete your voice recordings -one by one, by date range, with an Alexa-enabled device, using attributed voice ID, or all at once by visiting Alexa privacy in your settings. If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests.	"You can delete your voice recordings in your Alexa Privacy Settings in the Alexa App. Alternatively, you can enable deletion of your recordings by voice. If enabled, you can ask Alexa to delete a recording by saying ""Alexa, delete what I just said"". If you choose not to save any voice recordings, we will automatically delete your voice recordings after we process your requests."			
What is the latest privacy policy in regards to processing my voice?	From IDG.COM.AU: Microsoft's updated privacy policy acknowledges that the company is allowing humans to listen to recordings made by Cortana and other speech services, and the company has not yet allowed customers to opt out.	We receive and store any information you provide in relation to Amazon Services. As a result of those actions, you might supply us with such information as: voice recordings when you speak to Alexa;	Our latest privacy policy states that you supply us with your voice recordings when you speak to Alexa.	You can always check the latest privacy policies on your Amazon account.			
