Question	Document ID	Title	RAG+MultiRAIN_correctness_readability_MULTIRAIN
Why is all my contacts' personal information needed?	privacy-Notice-2	Privacy Notice	" We collect and use your contacts' personal information to provide you with features and functionality on Amazon Services, such as the ability to call or message your contacts using Alexa. We may also use this information to help you and your contacts connect and communicate with each other. However, we do not use this information for advertising or other purposes without your consent.
"
Why did you add all my contacts' phone numbers to my contact book?	privacy-Notice-3	Privacy Notice	" We do not add your contacts' phone numbers to your contact book without your consent. However, if you have given us permission to access your contacts, we may suggest phone numbers to you that you may want to add to your contact book based on your interactions with us. For example, if you've ordered something for a friend and provided their phone number, we might suggest adding that number to your contact book.
"
Why do you know my email address?	privacy-Notice-8	Privacy Notice	" We use your email address to communicate with you, for example, to send you updates about your orders, notifications about special offers, and other important information related to your Amazon account.
"
Why do you know my location?	privacy-Notice-8	Privacy Notice	" We use your location to provide and improve our services. For example, we use your location to determine the delivery address for your orders, to provide location-based services, and to personalize your shopping experience.
"
For what purpose is my name collected?	privacy-Notice-3	Privacy Notice	" Your name is collected to provide, troubleshoot, and improve Amazon Services. It is used to communicate with you about orders, products, and services, and to personalize your experience with Amazon Services. It may also be used for fraud prevention and credit risk assessment.
"
What do you need my phone number for?	privacy-Notice-8	Privacy Notice	" We use your phone number to communicate with you about your orders, deliveries, and other important information related to your Amazon account. We may also use it for two-step verification to help secure your account.
"
Do you need to know my time zone?	privacy-Notice-8	Privacy Notice	" We may use your time zone to provide you with more accurate and relevant information, such as weather updates or news.
"
Why do you record my voice?	privacy-FAQ-1	Privacy FAQ	" We record your voice to provide and improve our services. For example, we use your voice recordings to recognize your voice and respond to your requests. We also use your voice recordings to train our speech recognition and natural language understanding systems using machine learning. This helps Alexa understand and respond to a wide range of customer requests and improve over time.
"
Can the assistant pull information from my phone's calendar?	privacy-Notice-8	Privacy Notice	" No, Alexa cannot access your phone's calendar without your explicit permission. You can link your calendar to Alexa, but only if you give Alexa permission to access it.
"
Does the assistant have access to my contacts?	privacy-Notice-8	Privacy Notice	" No, by default, Echo devices are designed to detect only your chosen wake word and no audio is stored or sent to the cloud unless the device detects the wake word or Alexa is activated by pressing a button. However, you can configure supported Echo devices to detect specific sounds, such as the sound of smoke alarms or glass breaking, and if that happens, an announcement is made over the device's speaker and a notification is sent to the Alexa app on your mobile device.
"
What's my address?	privacy-Notice-8	Privacy Notice	" To answer that, I would need to access your account information. According to Source 1, you can access your name, address, payment options, profile information, Prime membership, household settings, and purchase history in the “Your Account” section of Amazon's website.
"
What is my name?	privacy-Notice-8	Privacy Notice	" I don't have access to your personal information, including your name. However, you can access it in the ""Your Account"" section of the website.
"
Do you know my phone number?	privacy-Notice-8	Privacy Notice	" I cannot access or disclose your phone number or any other personal information without your consent, unless it's necessary to provide the service or as otherwise required by law.
"
How do you process my audio recordings?	privacy-FAQ-6	Privacy FAQ	" When you make a request to Alexa, a recording of your request is sent to Amazon's cloud, where we process your request and other information to respond to you. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" we use the recording of your request and information from Amazon Music to play top hits.
"
Does the assistant turn on my mic without my knowledge?	privacy-FAQ-4	Privacy FAQ	" No, the assistant does not turn on your mic without your knowledge. By default, Echo devices are designed to detect only your chosen wake word. They detect the wake word by identifying acoustic patterns that match your chosen wake word. No audio is stored or sent to the cloud unless the device detects the wake word or Alexa is activated by pressing a button. You can also turn off the microphones manually by pressing the microphone off button. When the microphones are turned off, your device cannot record and stream audio to the cloud, even when you say your chosen wake word.
"
Is my calendar stored on the device?	privacy-FAQ-1	Privacy FAQ	" By default, Alexa does not access or store your calendar data on your device. However, you can allow Alexa to access your calendar data in the cloud, such as from Google Calendar or Outlook Calendar, so that Alexa can provide you with calendar information, such as upcoming appointments and events.
"
Do they keep my contacts' information?	privacy-Notice-11	Privacy Notice	" Yes, they might receive information about your contacts from other sources, such as updated delivery and address information from their carriers, which they use to correct their records and deliver your next purchase more easily.
"
How long will my location history be kept?	privacy-Notice-11	Privacy Notice	" We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we use your location data to provide location-based services, such as package delivery notifications, and to improve the relevancy of products and content we recommend.
"
How can you guarantee my location information is secure?	privacy-Notice-6	Privacy Notice	" We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of your personal information, including your location data. We follow industry-standard security measures to protect against unauthorized access to our systems. We also offer security features to protect your devices against unauthorized access and loss of data. You can control these features and configure them based on your needs. For more information on how to manage the security settings of your device, click here.
"
For how long would my name be stored in the database?	privacy-Notice-11	Privacy Notice	" We keep your personal information to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in our Privacy Notice. For example, we retain your transaction history, including your name, so that you can review past purchases and repeat orders if desired.
"
Is the information on my time zone stored?	privacy-Notice-8	Privacy Notice	" Yes, we collect and store information about your time zone to provide you with the most accurate and relevant information and services. For example, we use your time zone to determine when to send you notifications or to display localized information.
"
Do you store my voice recordings locally or on a server?	privacy-FAQ-7	Privacy FAQ	" Alexa processes your voice recordings in the cloud to provide and improve our services and develop new features. However, you can turn on Do Not Send Voice Recordings on supported devices, so the audio of your requests to Alexa will be processed on device and not sent to the cloud. In this case, a text transcript of your request will still be sent to the cloud for Alexa to respond to your request, and you'll be able to review and delete those transcripts in your Voice History. Alexa will still send audio to the cloud for features that require the transmission of audio, such as when you make a call or send a message or announcement via Alexa.
"
