Question	Document ID	Title	RAG+RAIN_correctness_readability_READABILITY
Why do you record my voice?	privacy-FAQ-1	Privacy FAQ	" We record your voice to provide and improve our services. For example, we use your voice recordings to process your requests to Alexa, like playing music or setting alarms. We also use your voice recordings to improve Alexa's speech recognition and natural language understanding systems using machine learning. This helps Alexa understand and respond to a wide range of customer requests and improve over time.
"
Can the assistant pull information from my phone's calendar?	privacy-Notice-8	Privacy Notice	" Yes, with your permission, Alexa can access your calendar on your phone to help you manage your schedule. You can ask Alexa to add, modify, or delete calendar events. For example, you can say ""Alexa, add a doctor's appointment to my calendar on Friday at 2 PM.""
"
Does the assistant have access to my contacts?	privacy-Notice-8	Privacy Notice	" No, by default, Alexa does not access your contacts. However, you can give Alexa permission to access your contacts to make calls or send messages on your behalf. You can manage these permissions in the Alexa app.
"
What's my address?	privacy-Notice-8	Privacy Notice	" To provide you with the service, we need to have your address to deliver your orders. You can check your current address in the ""Your Account"" section of the Amazon website.
"
What is my name?	privacy-Notice-8	Privacy Notice	" I'm unable to access or disclose your personal information without your authorization. You can view and manage your personal information, including your name, in the ""Your Account"" section of the website.
"
Do you know my phone number?	privacy-Notice-8	Privacy Notice	" I don't have access to specific customer data unless it has been shared with me in the course of providing answers to your questions. However, I can tell you that your phone number is one type of personal information that Amazon collects in order to provide and continually improve its products and services. It can be used for account registration, order processing, and communication with you about your orders, among other things.
"
How do you process my audio recordings?	privacy-FAQ-6	Privacy FAQ	" When you make a request to Alexa, a recording of your request is sent to Amazon's cloud, where we process your request and other information to respond to you. For example, when you ask, ""Alexa, play top hits on Amazon Music,"" we use the recording of your request and information from Amazon Music to play top hits.
"
Does the assistant turn on my mic without my knowledge?	privacy-FAQ-4	Privacy FAQ	" No, the assistant does not turn on your mic without your knowledge. The device detects the wake word by identifying acoustic patterns that match the wake word. No audio is stored or sent to the cloud unless the device detects the wake word or you press the action button. You can also turn off the microphone by pressing the microphone off button.
"
Is my calendar stored on the device?	privacy-FAQ-1	Privacy FAQ	" By default, Alexa does not access or store your calendar data on your device. However, you can allow Alexa to access your calendar data in the cloud, such as from Google Calendar or Microsoft Outlook, so Alexa can provide you with calendar information, such as upcoming appointments and reminders.
"
Do they keep my contacts' information?	privacy-Notice-11	Privacy Notice	" Yes, they might receive information about your contacts from other sources, such as updated delivery and address information from their carriers, which they use to correct their records and deliver your next purchase more easily. However, they do not share this information with third parties for marketing purposes without your consent.
"
How long will my location history be kept?	privacy-Notice-11	Privacy Notice	" We keep your location history for as long as it is required in order to fulfil the relevant purposes described in our Privacy Notice, or as otherwise communicated to you. For example, we use location information to provide location-based services, such as traffic updates, and to improve the relevancy of products and content we recommend.
"
How can you guarantee my location information is secure?	privacy-Notice-6	Privacy Notice	" We maintain physical, electronic, and procedural safeguards in connection with the collection, storage, and disclosure of your personal information, including your location data. We follow industry-standard security measures to protect against unauthorized access to our systems. We also offer security features to protect your devices against unauthorized access and loss of data. You can control these features and configure them based on your needs.
"
For how long would my name be stored in the database?	privacy-Notice-11	Privacy Notice	" According to Source 1, your personal information, including your name, is kept to enable your continued use of Amazon Services, for as long as it is required in order to fulfill the relevant purposes described in Amazon's Privacy Notice, or as otherwise communicated to you.
"
Is the information on my time zone stored?	privacy-Notice-8	Privacy Notice	" Yes, we collect and store information about your time zone to provide you with the most accurate and relevant information and services. For example, we use your time zone to determine when to send you notifications or to display localized information.
"
Do you store my voice recordings locally or on a server?	privacy-FAQ-7	Privacy FAQ	" Alexa is designed to process your voice recordings in the cloud to provide and improve our services. However, you can turn on Do Not Send Voice Recordings, so the audio of your requests to Alexa will be processed on device and not sent to the cloud. A text transcript of your request will still be sent to the cloud so Alexa can respond to your request. You will be able to review and delete those transcripts in your Voice History.
"
